小区名称,地址,建筑年份,楼栋,单元,户室,朝向,面积
江南,江南路123号,2012,01,1,301,南北,100
江南,江南路123号,2012,01,1,302,南北,80
江南,江南路123号,2012,01,1,303,东西,120
江南,江南路123号,2012,01,1,304,东西,50
江南,江南路123号,2012,01,1,401,南北,100
江南,江南路123号,2012,01,1,402,南北,80
江南,江南路123号,2012,01,1,403,东西,120
江南,江南路123号,2012,01,1,404,东西,50
江南,江南路123号,2012,01,1,501,南北,100
江南,江南路123号,2012,01,1,502,南北,80
江南,江南路123号,2012,01,1,503,东西,120
江南,江南路123号,2012,01,1,504,东西,50
江南,江南路123号,2012,01,1,601,南北,100
江南,江南路123号,2012,01,1,602,南北,80
江南,江南路123号,2012,01,1,603,东西,120
江南,江南路123号,2012,01,1,604,东西,50
江南,江南路123号,2012,01,1,701,南北,100
江南,江南路123号,2012,01,1,702,南北,80
江南,江南路123号,2012,01,1,703,东西,120
江南,江南路123号,2012,01,1,704,东西,50
江南,江南路123号,2012,01,1,801,南北,100
江南,江南路123号,2012,01,1,802,南北,80
江南,江南路123号,2012,01,1,803,东西,120
江南,江南路123号,2012,01,1,804,东西,50
江南,江南路123号,2012,01,1,901,南北,100
江南,江南路123号,2012,01,1,902,南北,80
江南,江南路123号,2012,01,1,903,东西,120
江南,江南路123号,2012,01,1,904,东西,50
江南,江南路123号,2012,01,1,1001,南北,100
江南,江南路123号,2012,01,1,1002,南北,80
江南,江南路123号,2012,01,1,1003,东西,120
江南,江南路123号,2012,01,1,1004,东西,50
江南,江南路123号,2012,01,1,1101,南北,100
江南,江南路123号,2012,01,1,1102,南北,80
江南,江南路123号,2012,01,1,1103,东西,120
江南,江南路123号,2012,01,1,1104,东西,50
江南,江南路123号,2012,01,1,1201,南北,100
江南,江南路123号,2012,01,1,1202,南北,80
江南,江南路123号,2012,01,1,1203,东西,120
江南,江南路123号,2012,01,1,1204,东西,50
江南,江南路123号,2012,01,1,1301,南北,100
江南,江南路123号,2012,01,1,1302,南北,80
江南,江南路123号,2012,01,1,1303,东西,120
江南,江南路123号,2012,01,1,1304,东西,50
江南,江南路123号,2012,01,1,1401,南北,100
江南,江南路123号,2012,01,1,1402,南北,80
江南,江南路123号,2012,01,1,1403,东西,120
江南,江南路123号,2012,01,1,1404,东西,50
江南,江南路123号,2012,01,1,1501,南北,100
江南,江南路123号,2012,01,1,1502,南北,80
江南,江南路123号,2012,01,1,1503,东西,120
江南,江南路123号,2012,01,1,1504,东西,50
江南,江南路123号,2012,01,2,305,南北,90
江南,江南路123号,2012,01,2,306,东西,130
江南,江南路123号,2012,01,2,307,南北,60
江南,江南路123号,2012,01,2,308,东西,110
江南,江南路123号,2012,01,2,405,南北,90
江南,江南路123号,2012,01,2,406,东西,130
江南,江南路123号,2012,01,2,407,南北,60
江南,江南路123号,2012,01,2,408,东西,110
江南,江南路123号,2012,01,2,505,南北,90
江南,江南路123号,2012,01,2,506,东西,130
江南,江南路123号,2012,01,2,507,南北,60
江南,江南路123号,2012,01,2,508,东西,110
江南,江南路123号,2012,01,2,605,南北,90
江南,江南路123号,2012,01,2,606,东西,130
江南,江南路123号,2012,01,2,607,南北,60
江南,江南路123号,2012,01,2,608,东西,110
江南,江南路123号,2012,01,2,705,南北,90
江南,江南路123号,2012,01,2,706,东西,130
江南,江南路123号,2012,01,2,707,南北,60
江南,江南路123号,2012,01,2,708,东西,110
江南,江南路123号,2012,01,2,805,南北,90
江南,江南路123号,2012,01,2,806,东西,130
江南,江南路123号,2012,01,2,807,南北,60
江南,江南路123号,2012,01,2,808,东西,110
江南,江南路123号,2012,01,2,905,南北,90
江南,江南路123号,2012,01,2,906,东西,130
江南,江南路123号,2012,01,2,907,南北,60
江南,江南路123号,2012,01,2,908,东西,110
江南,江南路123号,2012,01,2,1005,南北,90
江南,江南路123号,2012,01,2,1006,东西,130
江南,江南路123号,2012,01,2,1007,南北,60
江南,江南路123号,2012,01,2,1008,东西,110
江南,江南路123号,2012,01,2,1105,南北,90
江南,江南路123号,2012,01,2,1106,东西,130
江南,江南路123号,2012,01,2,1107,南北,60
江南,江南路123号,2012,01,2,1108,东西,110
江南,江南路123号,2012,01,2,1205,南北,90
江南,江南路123号,2012,01,2,1206,东西,130
江南,江南路123号,2012,01,2,1207,南北,60
江南,江南路123号,2012,01,2,1208,东西,110
江南,江南路123号,2012,01,2,1305,南北,90
江南,江南路123号,2012,01,2,1306,东西,130
江南,江南路123号,2012,01,2,1307,南北,60
江南,江南路123号,2012,01,2,1308,东西,110
江南,江南路123号,2012,01,2,1405,南北,90
江南,江南路123号,2012,01,2,1406,东西,130
江南,江南路123号,2012,01,2,1407,南北,60
江南,江南路123号,2012,01,2,1408,东西,110
江南,江南路123号,2012,01,2,1505,南北,90
江南,江南路123号,2012,01,2,1506,东西,130
江南,江南路123号,2012,01,2,1507,南北,60
江南,江南路123号,2012,01,2,1508,东西,110
